월,사업장,비용항목,금액
2025-10,서울,인건비,64989.0
2025-10,서울,임차료,26124.0
2025-10,서울,유틸리티,3706.0
2025-10,서울,운영비,9007.0
2025-10,서울,마케팅비,4315.0
2025-10,서울,기타,2713.0
2025-10,부산,인건비,57280.0
2025-10,부산,임차료,28396.0
2025-10,부산,유틸리티,3772.0
2025-10,부산,운영비,10394.0
2025-10,부산,마케팅비,3737.0
2025-10,부산,기타,4210.0
2025-10,대구,인건비,81293.0
2025-10,대구,임차료,8679.0
2025-10,대구,유틸리티,3821.0
2025-10,대구,운영비,7700.0
2025-10,대구,마케팅비,7658.0
2025-10,대구,기타,2769.0
2025-10,인천,인건비,64039.0
2025-10,인천,임차료,13351.0
2025-10,인천,유틸리티,3561.0
2025-10,인천,운영비,13570.0
2025-10,인천,마케팅비,10599.0
2025-10,인천,기타,5466.0
2025-10,광주,인건비,68823.0
2025-10,광주,임차료,23513.0
2025-10,광주,유틸리티,4272.0
2025-10,광주,운영비,10655.0
2025-10,광주,마케팅비,3758.0
2025-10,광주,기타,7196.0
2025-10,대전,인건비,40975.0
2025-10,대전,임차료,16273.0
2025-10,대전,유틸리티,2992.0
2025-10,대전,운영비,5861.0
2025-10,대전,마케팅비,7716.0
2025-10,대전,기타,2039.0
