월,사업장,비용항목,금액
2025-08,서울,인건비,70451.0
2025-08,서울,임차료,24282.0
2025-08,서울,유틸리티,3560.0
2025-08,서울,운영비,11756.0
2025-08,서울,마케팅비,8778.0
2025-08,서울,기타,4951.0
2025-08,부산,인건비,55956.0
2025-08,부산,임차료,12716.0
2025-08,부산,유틸리티,2244.0
2025-08,부산,운영비,11247.0
2025-08,부산,마케팅비,7203.0
2025-08,부산,기타,6440.0
2025-08,대구,인건비,63073.0
2025-08,대구,임차료,22678.0
2025-08,대구,유틸리티,4616.0
2025-08,대구,운영비,7573.0
2025-08,대구,마케팅비,5979.0
2025-08,대구,기타,5695.0
2025-08,인천,인건비,73118.0
2025-08,인천,임차료,20791.0
2025-08,인천,유틸리티,2810.0
2025-08,인천,운영비,6907.0
2025-08,인천,마케팅비,7761.0
2025-08,인천,기타,2686.0
2025-08,광주,인건비,63404.0
2025-08,광주,임차료,11229.0
2025-08,광주,유틸리티,2312.0
2025-08,광주,운영비,6112.0
2025-08,광주,마케팅비,3582.0
2025-08,광주,기타,6587.0
2025-08,대전,인건비,69719.0
2025-08,대전,임차료,28733.0
2025-08,대전,유틸리티,3900.0
2025-08,대전,운영비,12831.0
2025-08,대전,마케팅비,8877.0
2025-08,대전,기타,8365.0
