월,사업장,비용항목,금액
2025-07,서울,인건비,63550.0
2025-07,서울,임차료,18078.0
2025-07,서울,유틸리티,2445.0
2025-07,서울,운영비,8051.0
2025-07,서울,마케팅비,5442.0
2025-07,서울,기타,7560.0
2025-07,부산,인건비,76660.0
2025-07,부산,임차료,21039.0
2025-07,부산,유틸리티,1758.0
2025-07,부산,운영비,12259.0
2025-07,부산,마케팅비,6305.0
2025-07,부산,기타,2695.0
2025-07,대구,인건비,63089.0
2025-07,대구,임차료,11272.0
2025-07,대구,유틸리티,2783.0
2025-07,대구,운영비,5516.0
2025-07,대구,마케팅비,9093.0
2025-07,대구,기타,1785.0
2025-07,인천,인건비,56063.0
2025-07,인천,임차료,17524.0
2025-07,인천,유틸리티,2767.0
2025-07,인천,운영비,10537.0
2025-07,인천,마케팅비,3962.0
2025-07,인천,기타,7118.0
2025-07,광주,인건비,58796.0
2025-07,광주,임차료,20106.0
2025-07,광주,유틸리티,1412.0
2025-07,광주,운영비,7680.0
2025-07,광주,마케팅비,6003.0
2025-07,광주,기타,3287.0
2025-07,대전,인건비,76226.0
2025-07,대전,임차료,11936.0
2025-07,대전,유틸리티,2847.0
2025-07,대전,운영비,7410.0
2025-07,대전,마케팅비,8378.0
2025-07,대전,기타,7390.0
