월,사업장,비용항목,금액
2025-06,서울,인건비,64834.0
2025-06,서울,임차료,9243.0
2025-06,서울,유틸리티,4583.0
2025-06,서울,운영비,7984.0
2025-06,서울,마케팅비,5283.0
2025-06,서울,기타,2608.0
2025-06,부산,인건비,68697.0
2025-06,부산,임차료,17105.0
2025-06,부산,유틸리티,3353.0
2025-06,부산,운영비,9734.0
2025-06,부산,마케팅비,5106.0
2025-06,부산,기타,5981.0
2025-06,대구,인건비,75095.0
2025-06,대구,임차료,11583.0
2025-06,대구,유틸리티,3239.0
2025-06,대구,운영비,7375.0
2025-06,대구,마케팅비,6557.0
2025-06,대구,기타,3771.0
2025-06,인천,인건비,56847.0
2025-06,인천,임차료,22406.0
2025-06,인천,유틸리티,4816.0
2025-06,인천,운영비,13499.0
2025-06,인천,마케팅비,5272.0
2025-06,인천,기타,7296.0
2025-06,광주,인건비,62292.0
2025-06,광주,임차료,11519.0
2025-06,광주,유틸리티,3060.0
2025-06,광주,운영비,14498.0
2025-06,광주,마케팅비,5366.0
2025-06,광주,기타,8188.0
2025-06,대전,인건비,62795.0
2025-06,대전,임차료,19921.0
2025-06,대전,유틸리티,2747.0
2025-06,대전,운영비,8729.0
2025-06,대전,마케팅비,7873.0
2025-06,대전,기타,4756.0
