월,사업장,비용항목,금액
2025-05,서울,인건비,80983.0
2025-05,서울,임차료,25220.0
2025-05,서울,유틸리티,3888.0
2025-05,서울,운영비,6506.0
2025-05,서울,마케팅비,6886.0
2025-05,서울,기타,4554.0
2025-05,부산,인건비,77554.0
2025-05,부산,임차료,14530.0
2025-05,부산,유틸리티,2767.0
2025-05,부산,운영비,12604.0
2025-05,부산,마케팅비,8268.0
2025-05,부산,기타,6341.0
2025-05,대구,인건비,46865.0
2025-05,대구,임차료,28122.0
2025-05,대구,유틸리티,1973.0
2025-05,대구,운영비,7122.0
2025-05,대구,마케팅비,7075.0
2025-05,대구,기타,3346.0
2025-05,인천,인건비,67927.0
2025-05,인천,임차료,20715.0
2025-05,인천,유틸리티,1993.0
2025-05,인천,운영비,7896.0
2025-05,인천,마케팅비,10308.0
2025-05,인천,기타,2836.0
2025-05,광주,인건비,71702.0
2025-05,광주,임차료,15579.0
2025-05,광주,유틸리티,4540.0
2025-05,광주,운영비,12812.0
2025-05,광주,마케팅비,8116.0
2025-05,광주,기타,3917.0
2025-05,대전,인건비,53967.0
2025-05,대전,임차료,19567.0
2025-05,대전,유틸리티,3976.0
2025-05,대전,운영비,13257.0
2025-05,대전,마케팅비,7348.0
2025-05,대전,기타,4591.0
