월,사업장,비용항목,금액
2025-01,서울,인건비,61795.0
2025-01,서울,임차료,16588.0
2025-01,서울,유틸리티,2384.0
2025-01,서울,운영비,7571.0
2025-01,서울,마케팅비,8397.0
2025-01,서울,기타,4130.0
2025-01,부산,인건비,54406.0
2025-01,부산,임차료,27999.0
2025-01,부산,유틸리티,2586.0
2025-01,부산,운영비,12126.0
2025-01,부산,마케팅비,9583.0
2025-01,부산,기타,5383.0
2025-01,대구,인건비,45046.0
2025-01,대구,임차료,10882.0
2025-01,대구,유틸리티,4447.0
2025-01,대구,운영비,16495.0
2025-01,대구,마케팅비,5571.0
2025-01,대구,기타,4113.0
2025-01,인천,인건비,76780.0
2025-01,인천,임차료,23052.0
2025-01,인천,유틸리티,4041.0
2025-01,인천,운영비,7156.0
2025-01,인천,마케팅비,9031.0
2025-01,인천,기타,2029.0
2025-01,광주,인건비,59656.0
2025-01,광주,임차료,22661.0
2025-01,광주,유틸리티,3266.0
2025-01,광주,운영비,4445.0
2025-01,광주,마케팅비,6431.0
2025-01,광주,기타,6945.0
2025-01,대전,인건비,68961.0
2025-01,대전,임차료,17449.0
2025-01,대전,유틸리티,4100.0
2025-01,대전,운영비,15431.0
2025-01,대전,마케팅비,6007.0
2025-01,대전,기타,3010.0
