월,사업장,비용항목,금액
2025-11,서울,인건비,55727.0
2025-11,서울,임차료,33644.0
2025-11,서울,유틸리티,2209.0
2025-11,서울,운영비,16307.0
2025-11,서울,마케팅비,4852.0
2025-11,서울,기타,7624.0
2025-11,부산,인건비,65918.0
2025-11,부산,임차료,27350.0
2025-11,부산,유틸리티,2774.0
2025-11,부산,운영비,9837.0
2025-11,부산,마케팅비,6106.0
2025-11,부산,기타,8041.0
2025-11,대구,인건비,58733.0
2025-11,대구,임차료,25427.0
2025-11,대구,유틸리티,3329.0
2025-11,대구,운영비,6219.0
2025-11,대구,마케팅비,3427.0
2025-11,대구,기타,3206.0
2025-11,인천,인건비,66274.0
2025-11,인천,임차료,19776.0
2025-11,인천,유틸리티,3413.0
2025-11,인천,운영비,9070.0
2025-11,인천,마케팅비,8046.0
2025-11,인천,기타,4378.0
2025-11,광주,인건비,67327.0
2025-11,광주,임차료,22591.0
2025-11,광주,유틸리티,2716.0
2025-11,광주,운영비,16458.0
2025-11,광주,마케팅비,10653.0
2025-11,광주,기타,5443.0
2025-11,대전,인건비,74983.0
2025-11,대전,임차료,11817.0
2025-11,대전,유틸리티,3059.0
2025-11,대전,운영비,12043.0
2025-11,대전,마케팅비,7460.0
2025-11,대전,기타,4971.0
