월,사업장,비용항목,금액
2025-04,서울,인건비,53484.0
2025-04,서울,임차료,26554.0
2025-04,서울,유틸리티,5117.0
2025-04,서울,운영비,9200.0
2025-04,서울,마케팅비,8702.0
2025-04,서울,기타,6632.0
2025-04,부산,인건비,83947.0
2025-04,부산,임차료,10220.0
2025-04,부산,유틸리티,3345.0
2025-04,부산,운영비,15634.0
2025-04,부산,마케팅비,6267.0
2025-04,부산,기타,5406.0
2025-04,대구,인건비,75829.0
2025-04,대구,임차료,15761.0
2025-04,대구,유틸리티,3498.0
2025-04,대구,운영비,15020.0
2025-04,대구,마케팅비,2860.0
2025-04,대구,기타,5735.0
2025-04,인천,인건비,59909.0
2025-04,인천,임차료,14551.0
2025-04,인천,유틸리티,4069.0
2025-04,인천,운영비,9533.0
2025-04,인천,마케팅비,4188.0
2025-04,인천,기타,4449.0
2025-04,광주,인건비,46989.0
2025-04,광주,임차료,16633.0
2025-04,광주,유틸리티,4974.0
2025-04,광주,운영비,10528.0
2025-04,광주,마케팅비,6434.0
2025-04,광주,기타,4411.0
2025-04,대전,인건비,48318.0
2025-04,대전,임차료,23889.0
2025-04,대전,유틸리티,3470.0
2025-04,대전,운영비,10436.0
2025-04,대전,마케팅비,6591.0
2025-04,대전,기타,7632.0
