월,사업장,비용항목,금액
2025-03,서울,인건비,79335.0
2025-03,서울,임차료,10134.0
2025-03,서울,유틸리티,2602.0
2025-03,서울,운영비,11832.0
2025-03,서울,마케팅비,8197.0
2025-03,서울,기타,3075.0
2025-03,부산,인건비,71270.0
2025-03,부산,임차료,18288.0
2025-03,부산,유틸리티,2406.0
2025-03,부산,운영비,6344.0
2025-03,부산,마케팅비,6916.0
2025-03,부산,기타,8265.0
2025-03,대구,인건비,66160.0
2025-03,대구,임차료,10277.0
2025-03,대구,유틸리티,3927.0
2025-03,대구,운영비,4381.0
2025-03,대구,마케팅비,5518.0
2025-03,대구,기타,4808.0
2025-03,인천,인건비,51404.0
2025-03,인천,임차료,30208.0
2025-03,인천,유틸리티,4729.0
2025-03,인천,운영비,9490.0
2025-03,인천,마케팅비,8953.0
2025-03,인천,기타,3028.0
2025-03,광주,인건비,52603.0
2025-03,광주,임차료,27350.0
2025-03,광주,유틸리티,5254.0
2025-03,광주,운영비,8754.0
2025-03,광주,마케팅비,8151.0
2025-03,광주,기타,3693.0
2025-03,대전,인건비,77405.0
2025-03,대전,임차료,22581.0
2025-03,대전,유틸리티,4824.0
2025-03,대전,운영비,8652.0
2025-03,대전,마케팅비,3185.0
2025-03,대전,기타,2577.0
